Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
84,Lucian,Middle,45.91%,4.16%,0.53%,11.99,6.01,5.25,5.61,8,19822,21190,2375,188.9,1.76,6.1,11607,36,0
85,Lulu,Support,49.87%,12.52%,3.84%,6.57,1.28,4.38,13.37,4,5419,13314,2049,14.8,0.05,0.1,9163,3,0
86,Lux,Middle,51.07%,4.00%,0.05%,5.29,6.37,4.87,8.76,7,21257,13463,1333,168.7,0.73,2.91,11541,14,5
87,Lux,Support,46.81%,1.10%,0.05%,6.96,3.48,5.43,11.57,5,13962,12503,1303,35.3,0.25,0.55,9953,18,0
88,Malphite,Top,50.94%,2.44%,0.10%,3.92,4.13,4.37,7.92,5,15761,20324,2113,164.6,0.76,2.34,10700,33,9
89,Malzahar,Middle,54.54%,4.07%,1.10%,6.48,5.41,4.95,7.3,7,20835,14624,1371,188.5,1.35,4.6,11733,5,0
90,Maokai,Jungle,51.59%,4.14%,2.84%,4.61,3.29,4.51,10.87,6,12683,33433,14404,38.0,3.65,46.33,10021,9,4
91,Maokai,Top,51.76%,4.09%,2.84%,3.84,3.15,4.32,8.89,5,15620,29419,10325,159.1,0.61,1.53,10214,4,1
92,Master Yi,Jungle,48.10%,4.75%,1.00%,5.25,7.94,6.34,4.59,10,16465,27522,7912,60.3,4.82,53.63,11995,19,5
93,Miss Fortune,ADC,51.82%,3.30%,0.04%,5.53,7.03,5.52,7.69,8,23321,17716,3118,188.4,0.82,3.74,12274,7,3
94,Mordekaiser,Top,52.14%,0.83%,0.03%,4.99,5.17,5.5,5.2,8,19650,15957,10139,176.5,1.68,3.73,11169,48,2
95,Morgana,Middle,51.04%,1.05%,0.36%,7.1,5.1,4.63,9.0,6,19539,18855,1763,169.3,0.96,3.08,11192,29,0
96,Morgana,Support,48.39%,3.97%,0.36%,5.11,2.24,5.32,13.55,4,11243,16410,2223,23.9,0.16,0.26,9729,11,4
97,Nami,Support,49.69%,6.89%,0.05%,7.74,1.43,4.44,14.24,3,7616,14465,11891,12.3,0.04,0.06,9256,6,1
98,Nasus,Top,50.32%,3.70%,0.88%,3.73,4.77,5.09,5.07,7,16966,30568,1219,183.9,1.0,2.73,11282,15,4
99,Nautilus,Support,47.93%,0.82%,0.02%,5.97,1.85,5.24,12.29,3,8734,19072,3329,46.6,0.15,0.35,8956,24,0
100,Nautilus,Top,46.03%,0.60%,0.02%,4.97,2.98,4.76,8.76,4,13467,21136,1782,156.7,0.49,1.76,10126,50,2
101,Nidalee,Jungle,50.82%,2.38%,0.10%,3.95,6.54,5.07,7.25,10,15835,26079,13650,37.4,8.59,56.11,11297,12,1
102,Nocturne,Jungle,50.38%,1.91%,0.06%,4.51,6.95,5.52,6.58,7,15387,27689,9785,52.0,4.74,56.53,11749,20,3
103,Nunu,Jungle,50.36%,1.12%,0.03%,3.35,2.49,4.15,10.29,4,7539,34434,16142,36.3,5.2,43.31,9870,38,12
